borough,jobs,hourlyearnings
BARKING AND DAGENHAM,58000,12.52
BARNET,132600,15.61
BEXLEY,73950,14.66
BRENT,117750,13.11
BROMLEY,105000,17.77
CAMDEN,379500,18.18
CITY OF LONDON,565750,27
CROYDON,121250,14.87
EALING,127250,14.53
ENFIELD,107750,12.65
GREENWICH,86250,15.79
HACKNEY,142200,15.61
HAMMERSMITH AND FULHAM,141750,18.72
HARINGEY,72100,15.39
HARROW,71000,15.33
HAVERING,86300,15.06
HILLINGDON,178750,14.31
HOUNSLOW,155250,14.29
ISLINGTON,240950,19.56
KENSINGTON AND CHELSEA,136800,20.04
KINGSTON UPON THAMES,70425,18.05
LAMBETH,148000,16.61
LEWISHAM,66700,15.33
MERTON,79950,16.4
NEWHAM,125250,12.73
REDBRIDGE,81450,14.81
RICHMOND UPON THAMES,78350,19.23
SOUTHWARK,246750,16.37
SUTTON,81600,15.67
TOWER HAMLETS,289000,17.25
WALTHAM FOREST,71350,14.37
WANDSWORTH,120600,19.6
WESTMINSTER,744000,20.59
